,cycleway,footway,path,track,pedestrian,Total
User1918,0,6,27,11,0,44
User1852,5,22,2,13,2,44
User3656,27,10,4,3,0,44
User518,1,14,13,16,0,44
User1621,1,11,24,7,1,44
User672,0,7,26,11,0,44
User1692,1,31,4,8,0,44
User1079,7,7,21,8,1,44
User425,20,11,3,10,0,44
User623,1,16,15,11,0,43
User3133,0,3,18,22,0,43
User2874,0,18,3,22,0,43
User1438,0,23,5,15,0,43
User1198,0,27,0,16,0,43
User600,1,26,1,0,15,43
User2246,0,35,0,8,0,43
User2259,0,42,0,1,0,43
User559,0,26,15,2,0,43
User1164,0,36,3,1,3,43
User331,0,36,0,0,7,43
User4133,0,35,8,0,0,43
User4157,0,33,6,4,0,43
User1593,1,26,2,14,0,43
User912,1,4,34,4,0,43
User985,3,8,32,0,0,43
User261,4,8,22,9,0,43
User4589,0,0,41,1,0,42
User669,2,0,5,35,0,42
User2029,0,17,14,11,0,42
User550,17,14,6,5,0,42
User1132,0,32,2,8,0,42
User911,18,8,10,6,0,42
User2914,15,18,4,5,0,42
User1036,28,10,0,3,0,41
User2038,0,1,23,17,0,41
User3746,14,10,6,11,0,41
User1758,0,2,12,27,0,41
User1787,1,15,10,15,0,41
User2125,6,11,18,6,0,41
User2541,0,5,13,23,0,41
User349,5,34,0,0,2,41
User2163,0,1,11,29,0,41
User394,15,23,0,0,3,41
User694,6,18,12,0,5,41
User680,0,10,24,7,0,41
User1562,0,1,29,10,1,41
User1830,6,0,7,28,0,41
User2202,1,14,4,21,0,40
User671,0,24,10,6,0,40
User2300,0,34,0,6,0,40
User1482,7,11,16,6,0,40
User1821,0,0,24,16,0,40
User4004,0,22,17,1,0,40
User251,1,16,18,5,0,40
User395,20,3,0,0,17,40
User1123,0,22,16,1,0,39
User400,0,14,10,14,1,39
User55,30,0,8,1,0,39
User987,2,19,16,1,1,39
User948,0,31,3,5,0,39
User665,30,8,1,0,0,39
User2690,0,0,3,36,0,39
User663,1,34,0,4,0,39
User2310,21,9,7,2,0,39
User1664,0,4,16,19,0,39
User1676,3,16,12,8,0,39
User1976,0,35,4,0,0,39
User490,0,0,12,26,0,38
User1910,0,33,3,2,0,38
User1796,0,32,0,3,3,38
User4992,0,2,35,1,0,38
User478,11,1,6,20,0,38
User235,0,1,20,17,0,38
User3560,1,0,27,10,0,38
User315,0,25,5,8,0,38
User2515,0,16,9,13,0,38
User1762,0,0,27,11,0,38
User1691,1,24,3,8,2,38
User2640,13,11,10,3,1,38
User1745,1,7,17,13,0,38
User325,14,10,1,6,6,37
User2858,2,16,0,19,0,37
User262,18,13,3,3,0,37
User1959,0,3,31,3,0,37
User2557,1,0,35,1,0,37
User1360,0,24,2,11,0,37
User2262,0,14,18,5,0,37
User576,15,9,3,4,6,37
User256,12,8,12,4,0,36
User1337,4,11,6,15,0,36
User492,1,0,18,17,0,36
User1427,2,28,2,4,0,36
User1401,2,10,18,6,0,36
User788,0,6,27,1,2,36
User36,7,8,7,14,0,36
User460,3,19,1,12,1,36
User2449,20,1,5,10,0,36
User509,0,4,14,17,1,36
User3471,0,11,23,0,2,36
User1808,1,13,8,14,0,36
User1176,0,0,4,32,0,36
User203,1,5,27,2,0,35
User710,0,4,24,7,0,35
User1883,12,3,16,4,0,35
User170,1,31,1,0,2,35
User513,3,25,5,2,0,35
User474,9,17,9,0,0,35
User2570,0,27,4,4,0,35
